OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015
58,004600,11001004600,3028,2929,816,1964,3,97,0,49,60,20,42,7,221,697,1929,3,96,0,7,45,14,36,5,2537,757,1560,3,94,0,39,53,16,35,6,167,668,1533,3,93,0,6,42,11,33,5,1465,1268,197,107.9646249,0.16869473,2900.63183184371,436917.338248073,60318054,36871,93634428,41045,76955521,38515,84837124,39885,95317975,42801,109132266,46092.5
59,004701,11001004701,3986,3919,595,2754,19,530,1,20,45,27,23,4,108,549,2725,13,527,1,3,39,24,23,4,3066,580,1923,17,469,1,20,36,20,21,4,98,536,1900,12,466,1,3,31,18,21,4,2138,2002,136,79.37474624,0.12402304,2917.41257232392,321218.203506362,62945849,27406,104928195,36630,78637972,29027,96427153,32836,106712117,36532.5,145902602,45305
60,004702,11001004702,1802,1742,703,853,0,158,1,27,35,14,21,1,95,659,844,0,158,1,5,24,8,16,1,1647,693,724,0,157,1,21,31,11,17,1,84,649,716,0,157,1,4,22,8,14,1,988,922,66,80.1862984,0.12529109,2950.75809494102,324502.438578914,68048639,59074,106167879,69010,92778875,68605,108357349,67405.5,104919301,61331,138666390,69195
61,004801,11001004801,2143,2045,847,961,9,123,5,100,50,24,50,2,191,776,952,6,123,0,10,48,19,48,2,1934,816,829,9,113,3,80,43,22,41,2,166,752,820,6,113,0,5,41,17,39,2,1208,1078,130,78.44606933,0.12257198,2458.97270141106,317459.981364852,63801222,47244,99227482,52484,76691024,48478,90035901,53570,109555605,60609,122287899,63711
62,004802,11001004802,2922,2845,866,1464,16,369,1,129,48,31,20,1,223,793,1457,9,368,0,6,45,30,18,1,2492,830,1176,13,303,1,106,36,26,19,0,186,767,1171,9,302,0,4,33,24,17,0,1561,1382,179,71.1905918,0.1112353,2192.31760125676,288098.105370579,73241336.7,33975.5,115913258,41981,87920491,37146.5,108590991.38,40512,102577469,40676,119531192,45675
63,004901,11001004901,2087,2036,793,1075,14,94,1,59,30,13,21,0,178,686,1060,12,94,1,16,24,11,21,0,1696,730,794,14,80,1,38,23,12,16,0,128,652,786,12,80,1,5,19,11,16,0,1094,971,123,67.17793143,0.10496552,2112.98851021367,271859.444849674,52574029,35398,77147230,44409,57630673,39410,66056089,43123,107168062,52044,136442151,59090
64,004902,11001004902,2690,2615,1330,812,11,166,6,290,21,9,26,6,468,1193,805,4,166,1,11,16,8,22,6,2354,1281,615,8,162,4,220,18,9,23,5,375,1162,610,3,162,1,5,14,8,20,5,1530,1417,113,65.20095982,0.1018765,2052.2824359682,263858.924567305,98407326,44608.5,123680131,52213.5,116868349,50705,126553450,51963,123848559,53770,141451695,59191.5
65,005001,11001005001,1955,1893,1259,484,3,92,0,55,25,8,30,2,169,1161,474,1,92,0,9,23,8,25,0,1802,1195,429,3,87,0,42,22,8,21,0,140,1108,419,1,87,0,8,20,8,18,0,1003,952,51,50.59006122,0.07904697,2114.9270431772,204730.715388826,94309397,67622,124100006,74090,114164264,69871,126820603,72566.5,122794751,70213,147289866,78133
66,005002,11001005002,6021,5799,3225,1152,33,328,5,1056,75,39,79,4,1676,2737,1120,15,326,4,15,50,27,73,4,5480,3128,1037,27,305,5,790,61,37,63,3,1340,2693,1008,15,303,4,8,42,27,58,3,3853,3475,378,57.69594676,0.09014992,2245.14085106903,233487.214065982,192352559,39733,266261760,53208,250076730,48270.5,278673551,51141,219968978,53829,259592000,59810.5
67,005201,11001005201,6077,5878,4398,775,20,442,19,224,65,47,99,8,612,4079,757,9,438,3,18,58,32,91,8,5811,4305,672,20,429,15,197,56,45,82,7,562,3999,656,9,425,3,16,49,32,78,7,4548,4200,348,83.93588152,0.13114982,2661.84205740219,339676.463215864,268298733,66130,401961716,75149,360312493,70538,397149782,73528,376053670,76106.5,442277202,81647.5
68,005301,11001005301,5051,4902,4121,179,17,455,4,126,37,24,96,4,432,3847,171,7,451,2,16,29,19,92,4,4920,4039,169,16,442,4,116,34,22,84,4,413,3770,163,7,438,2,16,27,17,80,4,3890,3608,282,70.76334226,0.11056772,2322.239748471,286369.087779839,226732166,64826,288225330,72068,295640286,68569,343695487,71067,263936773,70086.5,326386690,76569.5
69,005500,11001005500,6671,6454,5135,628,18,590,1,82,63,37,121,10,493,4752,613,13,586,1,24,58,30,117,10,6476,5000,611,17,574,1,76,57,36,108,10,474,4628,597,13,570,1,18,53,30,106,10,4983,4185,798,157.5255182,0.24613362,3987.96639750257,637483.158809735,333923999,73032,409244354,78901.5,425105796,75480,505477215,77201.5,444403949,80908,536412412,81726
70,005600,11001005600,6756,6523,5107,517,13,797,0,89,105,47,130,7,428,4810,495,11,794,0,17,96,42,119,7,6629,5031,506,13,785,0,85,98,47,110,7,414,4742,484,11,782,0,17,89,42,100,7,4059,3347,712,117.38224028,0.18340975,4364.53969862304,475029.075783795,167255800,63663,192250360,61943.5,208921431,59263,248986836.82,64756,203331811,67936,233194623,67328
71,005800,11001005800,2830,2737,1806,265,7,602,4,53,29,17,46,6,180,1698,262,7,600,4,1,21,16,46,6,2710,1759,254,7,563,4,42,24,17,39,6,161,1656,251,7,561,4,1,19,16,39,6,2306,1810,496,225.04199863,0.35162813,4111.14401578688,910712.662854341,119511652,83192,175823623,89328,167620188,88884.5,151839744,87076,159463208,88725,171281204,100633.5
72,005900,11001005900,2998,2922,1712,826,9,280,1,94,37,15,29,2,223,1617,806,9,278,1,7,25,13,25,1,2885,1695,752,7,278,1,83,31,14,27,2,207,1603,732,7,276,1,7,21,12,23,1,1868,1523,345,159.09289484,0.24858265,3377.37198275827,643826.10708364,55624517.13,46136,89285287,47249,91864708,49222,90357257,49116,56008018,51855,73843853,52042
73,006202,11001006202,33,33,7,25,0,1,0,0,0,0,0,0,0,7,25,0,1,0,0,0,0,0,0,29,7,21,0,1,0,0,0,0,0,0,0,7,21,0,1,0,0,0,0,0,0,8,8,0,2821.3335011,4.40833363,27060.0709896141,11417531.6664333,128235,102705,554878,52548,,,,,,,,
74,006400,11001006400,2139,2095,142,1860,24,38,0,31,37,22,7,3,65,133,1839,24,38,0,3,32,17,7,3,1565,136,1330,13,26,0,22,31,18,7,3,49,127,1318,13,26,0,1,26,13,7,3,1055,977,78,226.47514923,0.35386742,4676.88679669614,916512.417609171,22543116,21222,36959590,25016,25389209,21449,28899876.26,20823,39572111,26737,50187446,28943.5
75,006600,11001006600,1909,1876,1718,58,11,70,1,18,15,8,14,1,78,1659,56,10,70,1,4,14,8,13,1,1680,1525,50,10,58,1,15,10,7,9,0,60,1482,48,10,58,1,2,9,7,8,0,1143,1016,127,73.19528589,0.11436764,2663.23824410057,296210.81455095,106170076,88338,117490965,80400,123630521,81172,136743813,87030,133316015,92949,138452048,90957
76,006700,11001006700,3775,3679,3077,452,11,114,2,23,33,23,48,4,147,2965,447,10,113,2,10,28,17,45,4,3283,2703,389,9,98,2,20,23,22,25,3,121,2609,386,9,97,2,8,18,17,24,3,2008,1866,142,105.82744028,0.16535538,3020.44403660332,428268.458887597,217100355,85648,233122093,83000,249708355,86231,255796748,88571,284608649,99852.5,302416019,101467.5
77,006801,11001006801,1949,1893,647,1192,3,31,0,20,30,12,25,1,74,607,1183,2,31,0,3,24,11,25,1,1687,574,1016,3,30,0,18,25,11,19,1,61,539,1011,2,30,0,3,21,10,18,1,977,880,97,60.43495636,0.09442962,2060.75624696115,244571.592741545,52747534,48014,76178458,51207.5,59126678,48635.5,64998901,48317,79312724,58579,90648226,61861
78,006802,11001006802,2084,2029,937,1022,6,38,0,26,37,14,24,0,94,894,1009,5,36,0,8,22,8,21,0,1754,804,856,6,31,0,18,26,11,16,0,71,766,850,5,31,0,3,17,8,14,0,1004,921,83,69.83554626,0.10911804,2545.70931049687,282614.430575733,73798559,58385,96128685,63716,84563148,61279.5,90361240,60771.5,106607317,69016.5,117623354,70190
79,006804,11001006804,3670,3567,187,3225,29,21,1,104,75,41,25,11,315,91,3138,24,21,0,8,64,33,19,5,3396,186,2965,25,20,1,101,70,36,21,11,296,91,2894,20,20,0,7,59,28,15,5,13,12,1,499.91708383,0.78112045,6734.28725493454,2023092.67337275,1427126,31692,1403283,15698,1213118,15245,1517968,16825.5,1893345,26956,1977861,21076
80,006900,11001006900,2179,2121,1404,636,7,61,2,11,11,13,35,2,87,1340,630,6,61,2,6,9,6,32,2,1888,1234,548,6,52,2,7,9,10,23,1,68,1180,545,5,52,2,2,7,6,22,1,1190,1114,76,101.3774853,0.15840232,2860.13228007083,410260.129910805,96831762,74417,117789037,79464.5,111579539,75970,124386107,78466,124366685,83717,136440279,86964.5
81,007000,11001007000,2812,2748,2209,433,8,65,4,29,23,11,31,3,162,2093,423,7,64,4,9,20,9,27,2,2596,2074,378,8,61,4,24,18,11,19,3,144,1968,371,7,60,4,5,16,9,18,2,1268,1195,73,103.8770495,0.16230789,2909.00806375089,420375.507392908,105497762,75046.5,113568529,74503,116461048,73158.5,119493354,77934,126183172,81669,147508156,83749
82,007100,11001007100,2911,2807,977,1703,15,72,0,40,44,31,39,2,158,898,1691,15,71,0,7,36,21,32,2,2289,895,1209,12,70,0,31,32,26,24,2,119,830,1201,12,69,0,6,29,17,20,2,1461,1342,119,180.70823247,0.28235662,3852.7780521237,731300.275476049,73551776,42529,90074658,44333,88319005,43479,89640055,41845,90963474,44853,100613150,49413.5
83,000600,11001000600,4539,4395,3878,225,10,207,2,73,51,23,65,9,332,3647,217,6,204,2,13,41,24,61,4,3812,3273,207,9,177,2,59,23,19,37,8,272,3087,199,6,176,2,4,18,18,36,3,2234,2108,126,356.51306782,0.55705167,5202.37043243072,1442757.20675772,882856096,87171,413850238,81528.5,838428665,84947,887637225,91538,883701442,98902.5,1101811669,103485
84,000701,11001000701,4620,4502,3848,235,18,288,4,109,37,13,60,13,407,3583,215,8,285,4,27,30,10,55,9,4255,3586,212,15,266,3,84,27,12,46,7,354,3342,198,7,263,3,17,20,9,42,7,3275,2974,301,135.86157427,0.21228371,3198.46538960268,549812.287648554,268583555,68493,265927884,68775,291704733,68526.5,312019324,70192.5,302248205,72115,322343565,73385
85,000702,11001000702,3364,3259,2751,192,7,224,1,84,31,18,54,3,357,2511,180,3,217,1,16,25,9,49,2,3205,2642,183,7,211,1,69,26,15,48,2,318,2426,172,3,204,1,11,22,8,44,1,2471,2293,178,72.37383693,0.11308412,2738.79661844594,292886.528546715,86235734,50407,121237434,56357.5,113045300,52965,116865629,55189,98468564,56642.5,117499800,58111
86,000801,11001000801,6709,6526,5719,316,5,374,1,111,58,13,118,5,572,5284,299,3,372,1,27,48,15,97,5,5691,4880,278,5,325,0,86,36,19,73,5,476,4506,266,3,323,0,18,30,15,69,5,3528,3207,321,760.09512032,1.18764863,8440.16793496633,3075995.83756508,556165589,97849.5,429046240,94346,582273934,94581,932925890,99819.5,682255278,114495,762051697,122703
87,000802,11001000802,2869,2775,2390,107,4,232,2,40,23,8,62,3,231,2211,98,3,232,2,10,19,6,61,3,2438,2043,89,4,207,2,34,17,8,32,3,187,1898,86,3,207,2,6,14,6,31,3,1423,1336,87,563.0443164,0.87975675,6636.14191183739,2278559.52143544,211883023,89712.5,240968712,78663,288028817,83610,342246891,84441,354030099,94580,379610865,94907
88,000901,11001000901,7175,6946,6135,260,16,451,3,81,55,23,152,13,436,5807,249,12,447,3,22,52,22,138,10,6130,5204,233,16,432,3,64,40,22,117,13,382,4919,224,12,428,3,12,38,19,106,10,1661,1558,103,748.36412428,1.16931895,7095.70294690533,3028522.18062107,610398683,166298,443181730,138978.5,674640174,153391,754404800.1,168203,760449847,189371,946256227,197155
89,002802,11001002802,4277,4043,1753,1069,51,181,2,987,65,37,40,9,1843,1125,1034,9,180,1,4,43,18,28,2,3568,1564,854,38,166,2,750,55,32,34,7,1412,1073,834,7,165,1,3,37,17,28,2,2142,1935,207,56.34356824,0.08803683,2102.60697174066,228014.332339413,76017142,25506,113498858,31154.5,98267866,28033.5,104928617,28800,90869593,29954,111655848,34182
90,002900,11001002900,3962,3719,1606,1246,29,125,5,708,52,28,48,11,1370,1159,1213,4,125,5,17,31,11,40,3,3364,1460,1038,20,112,5,542,36,25,34,11,1058,1099,1016,3,112,5,16,23,11,30,3,1643,1448,195,74.70801484,0.11673127,2357.39891722113,302332.611458249,95743613,29736,137466819,37310,117975868,32774,132985526,35366,134545107.59,33953.5,158259296,36677
91,003000,11001003000,3398,3247,1376,1455,5,125,5,281,74,41,46,9,532,1223,1409,2,124,2,7,61,30,43,3,2854,1328,1058,5,121,4,219,57,36,39,8,420,1195,1034,2,120,2,4,46,25,36,3,1599,1489,110,52.36530139,0.08182078,1881.22351839229,211914.857479168,80525394,36678.5,108032013,42954,99841782,39491,114641347.26,40710.5,96242269,40821,113004657,45303
92,003100,11001003100,2885,2757,949,1086,18,101,0,603,38,24,20,11,1037,652,1056,1,97,0,6,22,9,16,4,2439,856,919,15,92,0,460,31,18,17,10,789,628,894,1,90,0,5,19,8,15,4,1131,1009,122,72.84079601,0.11381374,2574.25544465494,294776.24488345,60468985,28420,96124283,35170,75002721,31472.5,86351514.2,34062,92848628,36878,109392822,39963
93,003200,11001003200,4913,4803,1114,2917,22,92,1,657,56,32,16,1,1188,723,2836,14,92,1,9,37,19,13,0,3957,973,2313,18,83,1,485,40,24,14,1,876,689,2248,11,83,1,8,30,16,11,0,1840,1669,171,109.92596682,0.17175932,3050.48104975274,444854.607448458,91044809,27905.5,119332154,31551,103489228,29164,117284066,29825,120006056,32218,139048784,35833.5
94,009811,11001009811,4365,4293,13,4246,12,4,0,18,65,29,29,2,37,11,4228,10,4,0,12,58,24,26,1,2945,11,2864,9,4,0,14,37,22,15,2,25,9,2853,8,4,0,9,33,18,13,1,1979,1819,160,115.38399582,0.18028749,3543.40431952263,466942.46731644,36490017,20544,41515657,18977,39029707,20337,39500324,18576,41258037,20195.5,44315187,20516
95,009901,11001009901,2249,2212,94,2094,15,3,0,6,30,11,6,4,39,74,2081,15,3,0,1,29,10,6,4,1876,84,1745,10,3,0,6,23,11,6,4,30,68,1737,10,3,0,1,22,10,6,4,1070,1007,63,519.40448163,0.81156951,5944.80073953347,2101955.37479996,70749621,53475,68391309,49969,72050910,48382,71597532,51018.5,75281959,52425,78879964,51745
96,009902,11001009902,2905,2872,27,2813,12,3,0,17,30,12,8,0,44,24,2789,11,3,0,4,27,12,8,0,2273,25,2199,10,3,0,13,20,11,4,0,30,22,2182,10,3,0,3,20,11,4,0,1292,1175,117,319.8713549,0.499799,5340.36144416612,1294473.45459597,54350597,38024,57137569,37244,54368604,36560,59607982.49,40299.5,58509163,38499.5,62164914,38607
97,009903,11001009903,1851,1809,17,1774,3,2,0,13,40,23,5,0,30,16,1760,2,2,0,3,37,22,5,0,1358,15,1306,3,0,0,6,26,15,4,0,19,14,1297,2,0,0,2,23,14,4,0,722,644,78,92.86866799,0.14510729,3223.43219916391,375826.167714381,32456553.32,33233.5,35118730,33430,32138301,32154,33996201,33445.5,36133543,33897,40012643,36360.5
98,009904,11001009904,2243,2215,63,2055,8,7,0,82,26,14,4,0,162,22,2024,6,7,0,1,19,14,4,0,1546,46,1417,8,3,0,51,19,11,3,0,98,19,1401,6,3,0,1,16,11,3,0,1137,874,263,104.96612552,0.16400957,2987.9784577654,424782.841698579,26767870,26576.5,35494438.76,27487,27871815,26508,31120583,25681.5,34077779,28267,38243219,29601.5
99,009905,11001009905,2795,2729,24,2676,7,3,2,17,57,25,0,4,52,20,2656,7,3,2,2,49,24,0,4,2012,22,1933,6,3,2,12,31,18,0,3,29,19,1923,6,3,2,0,29,17,0,3,1330,1104,226,106.6063745,0.16657246,2908.05456932434,431420.693863826,30819168.68,26468,36150350,27355,31738883,25668,34320695,25986,35638365,26497,40068077,28297
100,009906,11001009906,1296,1264,11,1241,3,3,0,6,28,15,3,0,31,8,1227,1,3,0,0,24,12,2,0,1001,11,956,2,3,0,6,19,12,2,0,23,8,948,1,3,0,0,16,10,2,0,756,592,164,61.26893443,0.09573271,2139.29731849347,247946.582283868,16913306,27813,21931724,26833,17588909,26361,19399569,29004,22813412,28540,24288526,28732
101,009907,11001009907,2836,2789,13,2763,4,6,1,2,47,22,7,2,30,10,2746,3,6,1,0,40,22,7,2,1893,11,1847,2,4,1,2,26,13,3,0,21,8,1835,1,4,1,0,23,13,3,0,1176,1097,79,115.37489453,0.18027327,3177.05662942758,466905.635699033,27930889,23122,31452975.28,22424,29040909,22048.5,30367917.47,21635.5,31646541,23380,33496320,23804.5
102,010100,11001010100,2621,2540,1672,393,4,388,2,81,25,22,33,2,298,1477,381,4,382,2,14,18,16,30,1,2529,1639,370,4,373,2,67,21,19,32,2,268,1457,360,4,367,2,14,15,14,29,1,2067,1794,273,143.24577956,0.22382153,3436.5832123999,579695.106431479,94655251,55985.5,122209400,64721,108470412,59866,131214216,67512,92406308,66081.5,116764932,71341
103,010200,11001010200,2324,2208,1132,918,8,118,1,31,78,37,28,1,138,1057,900,5,118,1,8,64,30,27,1,2193,1097,857,8,111,1,31,58,35,20,1,128,1029,839,5,111,1,8,47,30,19,1,1654,1465,189,342.52280123,0.53519188,5083.27201049632,1386140.60622477,87260141,60379.5,103762693,62109,103406574,61275,111525170,63261.5,109619741,62140,135720406,67011
104,010300,11001010300,3187,3057,725,1915,36,67,3,311,68,37,27,9,527,606,1872,17,66,3,14,61,25,25,3,2677,655,1623,31,62,3,216,53,29,13,8,384,559,1589,17,61,3,7,47,20,12,3,1306,1173,133,268.32577311,0.41925902,5400.81030425883,1085875.88465221,67033876.8,35106.5,76672409,36564.5,70736519,35263,75275047,35107,80323393,36951,86842954,36933
105,010400,11001010400,4365,4281,129,4115,9,12,1,15,75,43,19,4,85,105,4082,7,12,1,0,67,41,17,3,3362,114,3157,7,10,1,13,55,33,9,4,64,98,3133,5,10,1,0,48,31,8,3,1828,1528,300,670.38691157,1.04747956,7779.6721858508,2712959.59467214,41916212,26314,45848533,24753,44255870,25687,46502276,26338,47671783,25165.5,50092794,25363
106,007503,11001007503,2425,2388,39,2319,8,6,0,16,34,14,4,4,37,37,2308,2,6,0,3,30,14,4,4,1641,39,1561,5,5,0,13,16,12,1,3,22,37,1555,2,5,0,3,16,12,1,3,1000,857,143,123.49271125,0.19295736,2859.5298405734,499757.274593085,26718856,24918,29135292,23253,28871602,24616.5,28340224,22439.5,30892418,22427,34675207,23658
107,007504,11001007504,2451,2406,25,2370,5,4,0,2,45,18,6,0,6,24,2370,5,4,0,0,42,17,6,0,1652,22,1589,3,4,0,2,32,12,4,0,6,21,1589,3,4,0,0,29,11,4,0,1215,1007,208,196.82961741,0.30754628,4403.70024115352,796541.20604348,22978274,22252,28493704,20654,25984323,21037,27086707,19965,29579990,21006.5,31827145,22229.5
108,001902,11001001902,1969,1891,237,1537,2,24,0,91,68,29,10,0,179,177,1525,0,24,0,5,52,23,10,0,1625,201,1284,2,24,0,61,45,23,4,0,126,161,1275,0,24,0,3,31,18,4,0,861,807,54,219.46957607,0.34292122,3998.17202797162,888161.868727607,58668759,46399,60643912,46000.5,59659989,47090,61493116,49240,67370032,49598,71508164,51168
109,002001,11001002001,2340,2244,598,1172,10,61,4,399,69,26,16,2,629,441,1138,6,58,4,10,43,20,11,1,1897,503,980,7,48,4,288,52,22,5,2,470,384,951,3,46,4,1,34,18,2,1,1026,915,111,156.38148739,0.24434608,4208.85057698158,632853.430341176,74238446,32239,77796183,32255,72835604,33930.5,89402790,33028,89897212,31824,94288662,34251
110,002002,11001002002,3813,3611,778,2297,14,54,9,459,106,31,30,55,794,577,2247,9,53,2,36,75,25,29,11,2994,624,1869,12,48,9,303,69,26,14,39,541,487,1829,9,47,2,15,55,20,13,11,1436,1334,102,209.83484706,0.32786695,4418.37175095527,849171.50349221,99551003,34078,111106825,34515,103023441,32810,116228210,33151,127883153,38577,137968594,39738.5
111,002101,11001002101,5309,5075,675,3301,34,99,9,957,128,47,26,6,1651,260,3203,13,95,1,6,72,36,17,4,4155,536,2685,24,77,6,658,88,33,17,6,1152,239,2619,7,74,1,2,54,25,12,4,2183,1983,200,148.52620714,0.2320722,3187.28805079064,601064.238813091,94312486.76,26813,111940633,28176.5,100905873,27449.5,107570821,27870.5,112888946,29257,126189873,30443
112,002102,11001002102,4648,4523,398,3583,15,27,0,500,110,47,15,3,724,278,3512,12,27,0,13,76,37,8,3,3652,334,2881,7,23,0,322,73,35,12,3,476,252,2834,6,23,0,4,51,28,7,3,2173,1900,273,179.36485752,0.28025759,3547.75354262167,725863.829931322,92766959.97,32803,113649527,33861.5,103545279,33094,107590365,34640,119845798,36433.5,130031411,38248
113,002201,11001002201,3442,3354,432,2331,12,55,0,524,59,22,10,3,823,227,2281,4,55,0,10,36,20,8,2,2724,354,1903,9,47,0,352,38,18,6,3,569,198,1869,4,47,0,4,29,16,4,2,1186,1110,76,102.58051588,0.16028206,2575.69824621092,415128.621962459,70400837,30903,85149168,32313,75036081,31369.5,79524709,31352.5,91456684.98,36545,100975796,38447
114,002202,11001002202,3087,2946,285,2177,26,28,1,429,105,34,19,19,648,174,2130,10,28,0,4,81,22,18,19,2440,232,1761,18,28,1,308,74,28,12,18,448,160,1727,9,28,0,4,56,17,11,18,1434,1272,162,171.85117555,0.26851746,3340.61329168123,695457.037597032,53733218,29485.5,65242968,29500,59185960,31222,64348461,30895,68791897,31094,76191464,34486
115,009302,11001009302,1189,1142,221,835,11,20,0,55,37,19,5,4,125,178,821,4,20,0,0,34,18,5,4,958,198,664,7,14,0,42,26,17,2,4,97,162,654,3,14,0,0,24,16,2,4,545,460,85,99.66119489,0.15572062,2780.1365050494,403314.549015264,29300075,38413,32262752,38884,30980311,39454,31339082,40970.5,35745645,40877,38583475,40697.5
116,002301,11001002301,2974,2899,474,2137,20,37,2,229,44,15,12,18,402,371,2113,7,37,0,5,29,15,11,1,2398,416,1728,13,28,2,156,28,14,10,15,285,337,1710,6,28,0,4,18,14,9,1,1168,1069,99,101.94811585,0.15929393,2865.39124469821,412569.389844188,66417176,37400,84654482,37194.5,74796443,36275,78771314,37362,98291254,41551,104003314,43663
117,002302,11001002302,2036,1983,1022,870,10,60,0,21,40,19,13,7,84,978,860,10,60,0,2,31,18,13,3,1915,1004,778,10,58,0,19,34,19,11,7,68,968,772,10,58,0,2,27,18,10,3,1573,1216,357,497.9453067,0.77803955,5876.13667254679,2015113.17440509,26615661,30605,31103989,37487,29334569,33921,31213085,35344,28685547,39185,33413912,44461
